Borough,Major Category,Minor Category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ealing,Criminal Damage,Other Criminal Damage,652,732,781,720,575,462,534,579,682,653,650
Ealing,Drugs,Drug Trafficking,166,222,192,163,190,265,159,139,111,163,78
Ealing,Drugs,Other Drugs,20,12,10,12,17,12,13,11,27,18,14
Ealing,Drugs,Possession Of Drugs,3176,2338,2454,2111,2028,1651,1472,1298,1255,1212,1042
Ealing,Fraud or Forgery,Counted per Victim,1660,1876,1913,1712,735,90,0,0,0,0,0
Ealing,Fraud or Forgery,Other Fraud & Forgery,399,581,595,499,534,72,58,56,57,61,46
Ealing,Other Notifiable Offences,Going Equipped,30,9,31,25,21,16,17,17,28,35,19
Ealing,Other Notifiable Offences,Other Notifiable,412,410,512,529,467,419,460,538,597,630,667
Ealing,Robbery,Business Property,100,97,95,98,94,74,64,54,65,78,53
Ealing,Robbery,Personal Property,1333,1200,1583,1398,1210,863,582,590,612,772,805
Ealing,Sexual Offences,Other Sexual,253,267,254,305,275,330,354,374,364,386,431
Ealing,Sexual Offences,Rape,56,74,106,116,108,133,137,195,186,237,266
Ealing,Theft and Handling,Handling Stolen Goods,77,56,64,87,62,46,48,52,74,47,30
Ealing,Theft and Handling,Motor Vehicle Interference & Tampering,99,119,151,256,228,188,352,433,377,0,0
Ealing,Theft and Handling,Other Theft,2856,2710,3117,3216,4078,3587,3373,3423,3506,3298,3384
Ealing,Theft and Handling,Other Theft Person,917,991,1077,1063,1002,951,541,589,606,582,673
Ealing,Theft and Handling,Theft From Motor Vehicle,3498,3990,4227,3740,3206,3050,2600,2240,2188,2192,2517
Ealing,Theft and Handling,Theft From Shops,1147,1328,1453,1554,1383,1454,1542,1648,1899,1687,1269
Ealing,Theft and Handling,Theft/Taking Of Motor Vehicle,1057,981,1177,923,903,642,693,738,843,1094,1227
Ealing,Theft and Handling,Theft/Taking of Pedal Cycle,535,671,693,712,856,681,527,497,591,659,554
Ealing,Violence Against the Person,Assault with Injury,2260,2156,2428,2224,2301,1673,1736,1804,1980,1988,1988
Ealing,Violence Against the Person,Common Assault,1713,1871,2166,2183,1869,1566,2139,2689,2918,2936,2936
Ealing,Violence Against the Person,Grievous Bodily Harm,218,504,248,0,0,0,0,0,0,0,0
